iter	Logloss
0	0.6558104406
1	0.6253452383
2	0.6016213602
3	0.5838382339
4	0.5709561864
5	0.5606997084
6	0.5523930706
7	0.5441584312
8	0.5382014654
9	0.5344039872
10	0.5310276989
11	0.5272318151
12	0.5249489394
13	0.5224846165
14	0.5209345201
15	0.5191172324
16	0.5180084334
17	0.51668543
18	0.5159236063
19	0.5152723685
20	0.5146483883
21	0.5141409759
22	0.5133404892
23	0.5125822005
24	0.5120370524
25	0.5117175547
26	0.5113601075
27	0.5108642812
28	0.5105725411
29	0.5103200202
30	0.5100589774
31	0.5097237658
32	0.5093308702
33	0.5089933029
34	0.5088327279
35	0.5085416306
36	0.5082327688
37	0.5080835597
38	0.5078956332
39	0.507669189
40	0.5074905192
41	0.5072507417
42	0.5071398259
43	0.507004034
44	0.5068693255
45	0.5066235438
46	0.506459379
47	0.5063335064
48	0.5061624686
49	0.5060033989
50	0.5058959525
51	0.5056913802
52	0.5055631046
53	0.5054387521
54	0.5053389187
55	0.5052248718
56	0.5051049724
57	0.5049781124
58	0.504845543
59	0.5047336817
60	0.5045973068
61	0.504515892
62	0.5044026983
63	0.5043479622
64	0.5042683895
65	0.504187485
66	0.5040407581
67	0.5039068643
68	0.5038410115
69	0.5037577394
70	0.5036577904
71	0.5035635749
72	0.5034781273
73	0.5034222984
74	0.5033695855
75	0.5033087306
76	0.5032304693
77	0.5031534764
78	0.5030436304
79	0.5029822833
80	0.5028886294
81	0.5028221196
82	0.5027679893
83	0.5027186388
84	0.5026160987
85	0.5025067452
86	0.5024416971
87	0.5023998119
88	0.502343863
89	0.5022558993
90	0.5021466299
91	0.5020992394
92	0.5020270405
93	0.5019689925
94	0.5018983183
95	0.5018665411
96	0.501791228
97	0.501721026
98	0.5016487527
99	0.5015956437
100	0.5015187672
101	0.5014230235
102	0.501348794
103	0.5012415008
104	0.5011880319
105	0.5011399435
106	0.5010687352
107	0.5010380862
108	0.5009718013
109	0.5009222048
110	0.5008613944
111	0.5007753468
112	0.5007226102
113	0.5006335616
114	0.5005693753
115	0.5005376549
116	0.5004658364
117	0.500397768
118	0.5002933719
119	0.5001981994
120	0.5001410991
121	0.5000748589
122	0.5000346277
123	0.499916808
124	0.4998516238
