iter	Logloss
125	0.4997764515
126	0.499707061
127	0.4996252682
128	0.4995618219
129	0.499504637
130	0.4994155225
131	0.4993491182
132	0.4992572209
133	0.4992040743
134	0.4991664305
135	0.4991006556
136	0.4990320778
137	0.4989556673
138	0.498859768
139	0.4987980347
140	0.4986873229
141	0.4986035207
142	0.4985650733
143	0.4985098105
144	0.4984143392
145	0.4982926512
146	0.4981948193
147	0.4981012737
148	0.4980099451
149	0.4979832005
150	0.4979060619
151	0.4978641762
152	0.4978246109
153	0.4977503419
154	0.4976734147
155	0.4975775772
156	0.4975530891
157	0.4974584097
158	0.4973912174
159	0.4973204849
160	0.4972280983
161	0.4971843863
162	0.4970736393
163	0.4969744408
164	0.4968675731
165	0.4968108721
166	0.4967473275
167	0.4966788547
168	0.496607247
169	0.4965392836
170	0.4964714898
171	0.4964058464
172	0.4963599484
173	0.4962931966
174	0.4962247422
175	0.4961695093
176	0.4960614269
177	0.4959694046
178	0.4959008314
179	0.4958148975
180	0.4957523326
181	0.4956793491
182	0.4956071785
183	0.4955390383
184	0.495466201
185	0.4954410119
186	0.4953844293
187	0.4952894111
188	0.4952115443
189	0.4951995411
190	0.4951296712
191	0.4950612266
192	0.4950115499
193	0.4949580398
194	0.4948384719
195	0.4947770768
196	0.4947445191
197	0.4946737793
198	0.494623583
199	0.4945353089
200	0.4944554206
201	0.4943829633
202	0.4943176976
203	0.4942401458
204	0.4942208902
205	0.4941428696
206	0.4940876917
207	0.4940358994
208	0.493985894
209	0.4939203603
210	0.4939110227
211	0.4938053568
212	0.4937711125
213	0.493712551
214	0.493666599
215	0.4936282127
216	0.493549236
217	0.4934768196
218	0.4934153604
219	0.4933492843
220	0.4932908556
221	0.4932271271
222	0.4931590152
223	0.4931029031
224	0.493022736
225	0.4929575516
226	0.4928989315
227	0.4928255073
228	0.4927673013
229	0.4926702077
230	0.4926011517
231	0.4925719714
232	0.4924807948
233	0.4924307356
234	0.4923321508
235	0.492326489
236	0.4922970672
237	0.4922252716
238	0.492126475
239	0.4920720834
240	0.4919552341
241	0.4919032328
242	0.4918208847
243	0.4917681038
244	0.4916845447
245	0.4916353132
246	0.4915929009
247	0.4915620054
248	0.4915030323
249	0.4914400315
250	0.4913967809
251	0.4913392833
252	0.4912828299
253	0.4912210921
254	0.4911696559
255	0.4910978542
256	0.4910352789
257	0.4909670061
258	0.4908947722
259	0.4908493873
260	0.4907812005
261	0.4907071496
262	0.4906568453
263	0.490605685
264	0.4905419281
265	0.4904825905
266	0.4904471008
267	0.4904132231
268	0.4903576254
269	0.4903031243
270	0.4902979346
271	0.4902717764
272	0.4902139803
273	0.4901528925
274	0.490074963
275	0.4899837991
276	0.4899422339
277	0.4898738559
278	0.4898678366
279	0.489802376
280	0.4897323945
281	0.4897190578
282	0.4896769307
283	0.4896107073
284	0.4895021128
285	0.4894189347
286	0.4893697812
287	0.4893051655
288	0.4892343569
289	0.489180915
290	0.4891311194
291	0.4890587033
292	0.4890010331
293	0.4889404045
294	0.4888761292
295	0.4888652334
296	0.4888156302
297	0.4887550722
298	0.4886966791
299	0.4886166534
300	0.4885885742
301	0.488545175
302	0.4884838304
303	0.4884194301
304	0.488379537
305	0.4883346954
306	0.4882779076
307	0.4882338816
308	0.4881748223
309	0.4881183811
310	0.4880722456
311	0.4880263366
312	0.4879845528
313	0.487931821
314	0.487858233
315	0.4877874773
316	0.4877452794
317	0.4876626431
318	0.4876206675
319	0.4875558461
320	0.4874720518
321	0.4874099479
322	0.4873482696
323	0.4872942125
324	0.4872619976
325	0.4872027967
326	0.4871684498
327	0.4871360608
328	0.4870436153
329	0.4869756721
330	0.486940348
331	0.4868648275
332	0.4868247383
333	0.4867724226
334	0.4866852006
335	0.4866049166
336	0.486601982
337	0.4865285142
338	0.4864917783
339	0.4864456248
340	0.4863985453
341	0.4863302815
342	0.4862815635
343	0.4862031597
344	0.4861787071
345	0.4861210941
346	0.486087129
347	0.486015012
348	0.4859360918
349	0.485880624
350	0.4858379534
351	0.4857765016
352	0.4856935006
353	0.4856710916
354	0.4856134373
355	0.4856096044
356	0.4855683674
357	0.4855081582
358	0.485408403
359	0.4853814784
360	0.4853528633
361	0.4853194963
362	0.4852898922
363	0.4852648746
364	0.4851653766
365	0.4850848327
366	0.485069906
367	0.4850060118
368	0.4849421237
369	0.4848541772
370	0.4847939844
371	0.4847180689
372	0.484688743
373	0.4846538351
374	0.4846152808
375	0.4846125282
376	0.4845612813
377	0.4844921765
378	0.4844097065
379	0.4843578041
380	0.4842803843
381	0.484243317
382	0.4841949621
383	0.484157864
384	0.484081771
385	0.4840462114
386	0.483991969
387	0.4839466149
388	0.4838815721
389	0.4838319604
390	0.4838019696
391	0.4837381896
392	0.4836872681
393	0.4836171123
394	0.4835768354
395	0.4835068307
396	0.4834653
397	0.4834093173
398	0.4833574894
399	0.4833329588
400	0.4832679789
401	0.4832064489
402	0.4831854971
403	0.4830990254
404	0.4830847642
405	0.4830287565
406	0.4829807575
407	0.4829259132
408	0.4828644182
409	0.4828107479
410	0.4827697606
411	0.4827087428
412	0.482639261
413	0.4826087419
414	0.4825431498
415	0.4824880571
416	0.4824442062
417	0.4824079614
418	0.4823594502
419	0.4822915349
420	0.4822660164
421	0.4822151197
422	0.4821921846
423	0.4821643255
424	0.4821257885
425	0.4821008279
426	0.4820305539
427	0.4819910347
428	0.4819613233
429	0.4819366225
430	0.4819046831
431	0.4818254525
432	0.4818052144
433	0.481743609
434	0.481657124
435	0.4816210988
436	0.4815833127
437	0.4815551217
438	0.4814929266
439	0.4814506089
440	0.4814142869
441	0.4813440252
442	0.4812774226
443	0.4812166149
444	0.4811463226
445	0.4811007819
446	0.4810869075
447	0.4810722174
448	0.4810020419
449	0.4809284345
450	0.480873825
451	0.480816721
452	0.4807593729
453	0.4807003292
454	0.4806450191
455	0.4805827258
456	0.4805479468
457	0.480507568
458	0.480457409
459	0.4804167195
460	0.4803516875
461	0.4802866877
462	0.4802330682
463	0.4801606777
464	0.4801338552
465	0.4800847469
466	0.4800297578
467	0.4799820853
468	0.4799732168
469	0.4799224491
470	0.4799031516
471	0.4798871144
472	0.4798467247
473	0.4798126234
474	0.4797436139
475	0.4797048076
476	0.4796514464
477	0.4795937768
478	0.4795330963
479	0.4794872412
480	0.479447778
481	0.4794059681
482	0.4793731874
483	0.4793215103
484	0.4792793161
485	0.4792390947
486	0.4791898089
487	0.4791146435
488	0.4790945532
489	0.4790557349
490	0.4790397816
491	0.4790040306
492	0.478952434
493	0.4788897125
494	0.4788600166
495	0.4788293676
496	0.4787927759
497	0.4787215987
498	0.4786712484
499	0.4786201142
500	0.4785503941
501	0.4784752421
502	0.4784353147
503	0.4783917068
504	0.4783569514
505	0.4783153778
506	0.4782551437
507	0.4782068244
508	0.4781477229
509	0.4781074941
510	0.4780814618
511	0.4779838787
512	0.4779438899
513	0.477933664
514	0.4779094664
515	0.4778483087
516	0.4778009175
517	0.4777405175
518	0.4777270611
519	0.4776870976
520	0.4776692697
521	0.4775849491
522	0.4775468537
523	0.477512414
524	0.4774586598
525	0.4774168703
526	0.4773967928
527	0.4773488357
528	0.4772945362
529	0.4772473909
530	0.4771795749
531	0.4771164365
532	0.4770913492
533	0.4770475012
534	0.4769852617
535	0.4769643589
536	0.476891168
537	0.4768646077
538	0.4768074553
